epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,554.159,1.39901,2.05531,1.71541,0.84948,0.88539,0.9309,0.68385,1.85592,2.45679,3.06021,0.000660714,0.000660714,0.000660714
2,1101.01,1.13292,1.38717,1.47149,0.84452,0.81783,0.91225,0.67348,2.08388,1.61006,4.24277,0.00128358,0.00128358,0.00128358
3,1644.81,1.10523,1.1472,1.44696,0.94363,0.94046,0.9763,0.7831,1.98487,1.07482,4.01989,0.00186244,0.00186244,0.00186244
4,2175.42,1.00001,0.94411,1.37212,0.69456,0.74831,0.74466,0.59873,1.99538,1.57788,3.82912,0.001802,0.001802,0.001802
5,2702.37,1.00752,0.8729,1.36656,0.98018,0.97079,0.99182,0.79151,1.99369,1.26822,3.45107,0.001736,0.001736,0.001736
6,3229.85,0.91737,0.77741,1.29871,0.91263,0.93892,0.9748,0.77919,2.11817,1.26783,3.5665,0.00167,0.00167,0.00167
7,3756.9,0.88573,0.71425,1.28094,0.98205,0.98334,0.99402,0.8037,2.01346,0.96435,3.3901,0.001604,0.001604,0.001604
8,4280.15,0.8836,0.70142,1.28973,0.85962,0.85318,0.92844,0.75076,2.11059,1.06237,4.05811,0.001538,0.001538,0.001538
9,4811.83,0.8308,0.65528,1.2488,0.982,0.9806,0.99347,0.89368,1.83714,0.77553,3.65703,0.001472,0.001472,0.001472
10,5334.07,0.81811,0.63109,1.23629,0.89092,0.87416,0.9413,0.82665,1.82991,0.8624,3.38738,0.001406,0.001406,0.001406
11,5855.93,0.77776,0.59043,1.20321,0.9981,0.99775,0.995,0.88312,1.85269,0.73118,3.55884,0.00134,0.00134,0.00134
12,6386.35,0.7476,0.57916,1.19099,0.98211,0.98719,0.99418,0.92397,1.76226,0.74482,3.66384,0.001274,0.001274,0.001274
13,6922.31,0.75388,0.57837,1.20063,0.98434,0.98882,0.99455,0.9229,1.74127,0.65601,3.27536,0.001208,0.001208,0.001208
14,7452.29,0.71556,0.53163,1.16698,0.99775,0.99821,0.99491,0.93797,1.72879,0.67757,3.61967,0.001142,0.001142,0.001142
15,7981.8,0.68549,0.52438,1.15503,0.9927,1,0.99491,0.92588,1.76967,0.65413,3.67839,0.001076,0.001076,0.001076
16,8511.61,0.6685,0.51461,1.13971,0.99245,0.98876,0.9948,0.86914,1.88158,0.76239,4.11898,0.00101,0.00101,0.00101
17,9041.34,0.65955,0.50019,1.14673,0.99294,0.99775,0.9943,0.91089,1.82465,0.67932,3.64795,0.000944,0.000944,0.000944
18,9578.89,0.63611,0.49207,1.12239,0.99882,1,0.995,0.94759,1.72269,0.6298,3.56446,0.000878,0.000878,0.000878
19,10135,0.62552,0.48108,1.11464,0.99968,1,0.995,0.92767,1.72583,0.6208,3.83686,0.000812,0.000812,0.000812
20,10691.3,0.6032,0.44836,1.10234,0.9998,1,0.995,0.96588,1.6475,0.59079,3.51862,0.000746,0.000746,0.000746
21,11253.4,0.40629,0.27859,0.98482,0.99776,0.99972,0.995,0.91757,1.73308,0.63175,3.84582,0.00068,0.00068,0.00068
22,11819.1,0.4017,0.25218,0.97799,0.99744,0.99775,0.99498,0.97028,1.58916,0.60165,3.2589,0.000614,0.000614,0.000614
23,12405.1,0.37135,0.23655,0.95643,0.99962,1,0.995,0.97426,1.59343,0.66288,3.39447,0.000548,0.000548,0.000548
24,12960.9,0.35258,0.22517,0.94437,0.99951,1,0.995,0.96329,1.60295,0.63284,3.24755,0.000482,0.000482,0.000482
25,13512,0.3299,0.20971,0.92704,0.9976,1,0.99487,0.9693,1.59413,0.58044,3.36565,0.000416,0.000416,0.000416
26,14059.1,0.31381,0.20409,0.92121,0.99986,1,0.995,0.93453,1.69832,0.67087,3.46876,0.00035,0.00035,0.00035
27,14606.7,0.29526,0.19681,0.90523,1,0.99462,0.995,0.97395,1.58479,0.60535,3.50717,0.000284,0.000284,0.000284
28,15155.3,0.28679,0.18669,0.89965,1,0.99997,0.995,0.97868,1.57369,0.59881,3.61996,0.000218,0.000218,0.000218
29,15694.2,0.26991,0.17915,0.89166,0.9999,1,0.995,0.97834,1.54236,0.63166,3.48277,0.000152,0.000152,0.000152
30,16235.2,0.26009,0.17296,0.88499,0.999,1,0.995,0.97739,1.55663,0.63597,3.5571,8.6e-05,8.6e-05,8.6e-05
